"filename", "language", "Dart", "comment", "blank", "total"
"/Users/alljavi/Documents/codigo/tucomunidad/lib/main.dart", "Dart", 146, 0, 11, 157
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/create.dart", "Dart", 75, 1, 6, 82
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createPost.dart", "Dart", 109, 1, 10, 120
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createReunion.dart", "Dart", 259, 2, 14, 275
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createVotacion.dart", "Dart", 132, 1, 10, 143
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/home.dart", "Dart", 109, 1, 11, 121
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/instalaciones.dart", "Dart", 84, 1, 10, 95
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/login.dart", "Dart", 139, 1, 10, 150
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/notifications.dart", "Dart", 55, 5, 6, 66
"/Users/alljavi/Documents/codigo/tucomunidad/lib/streams/appbar.dart", "Dart", 11, 1, 5, 17
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/instalaciones.dart", "Dart", 71, 1, 4, 76
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/post.dart", "Dart", 194, 1, 8, 203
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/reuniones.dart", "Dart", 108, 1, 5, 114
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/votaciones.dart", "Dart", 143, 1, 7, 151
"Total", "-", 1635, 18, 117, 1770
