"filename", "language", "Dart", "comment", "blank", "total"
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/home.dart", "Dart", 2, 0, 0, 2
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/instalaciones.dart", "Dart", -2, 0, 1, -1
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/login.dart", "Dart", 7, 0, 1, 8
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/instalaciones.dart", "Dart", 35, 0, 0, 35
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/post.dart", "Dart", 11, -8, 0, 3
"Total", "-", 53, -8, 2, 47
