"filename", "language", "Dart", "comment", "blank", "total"
"/Users/alljavi/Documents/codigo/tucomunidad/lib/main.dart", "Dart", 155, 0, 11, 166
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/create.dart", "Dart", 75, 1, 6, 82
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createPost.dart", "Dart", 109, 1, 10, 120
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createReunion.dart", "Dart", 260, 2, 14, 276
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createVotacion.dart", "Dart", 132, 1, 10, 143
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/home.dart", "Dart", 137, 1, 12, 150
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/instalaciones.dart", "Dart", 113, 1, 10, 124
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/login.dart", "Dart", 140, 1, 10, 151
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/notifications.dart", "Dart", 89, 1, 11, 101
"/Users/alljavi/Documents/codigo/tucomunidad/lib/streams/appbar.dart", "Dart", 11, 1, 5, 17
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/instalaciones.dart", "Dart", 242, 1, 11, 254
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/post.dart", "Dart", 181, 14, 8, 203
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/reuniones.dart", "Dart", 121, 1, 6, 128
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/votaciones.dart", "Dart", 143, 1, 7, 151
"Total", "-", 1908, 27, 131, 2066
